[000000/001000] L_error: 0.9779878855 	 S_error: 1.3652423620 
[000001/001000] L_error: 0.7079695463 	 S_error: 0.9076212049 
[000002/001000] L_error: 0.5781312585 	 S_error: 0.5245230198 
[000003/001000] L_error: 0.5118382573 	 S_error: 0.2998950481 
[000004/001000] L_error: 0.4759914577 	 S_error: 0.1791435629 
[000005/001000] L_error: 0.4550930262 	 S_error: 0.1164217591 
[000006/001000] L_error: 0.4416185617 	 S_error: 0.0843446031 
[000007/001000] L_error: 0.4318701029 	 S_error: 0.0680611655 
[000008/001000] L_error: 0.4240218401 	 S_error: 0.0598256551 
[000009/001000] L_error: 0.4171727300 	 S_error: 0.0556608811 
[000010/001000] L_error: 0.4108728468 	 S_error: 0.0535640605 
[000011/001000] L_error: 0.4048997462 	 S_error: 0.0525055081 
[000012/001000] L_error: 0.3991444111 	 S_error: 0.0519620776 
[000013/001000] L_error: 0.3935487270 	 S_error: 0.0516942963 
[000014/001000] L_error: 0.3880842626 	 S_error: 0.0515554734 
[000015/001000] L_error: 0.3827346563 	 S_error: 0.0514878631 
[000016/001000] L_error: 0.3774926662 	 S_error: 0.0514447540 
[000017/001000] L_error: 0.3723550141 	 S_error: 0.0514105000 
[000018/001000] L_error: 0.3673125505 	 S_error: 0.0514121689 
[000019/001000] L_error: 0.3623664975 	 S_error: 0.0513954386 
[000020/001000] L_error: 0.3575126529 	 S_error: 0.0513896570 
[000021/001000] L_error: 0.3527480066 	 S_error: 0.0513876826 
[000022/001000] L_error: 0.3480714560 	 S_error: 0.0513860360 
[000023/001000] L_error: 0.3434801698 	 S_error: 0.0513900779 
[000024/001000] L_error: 0.3389740884 	 S_error: 0.0513834767 
[000025/001000] L_error: 0.3345501721 	 S_error: 0.0513830036 
[000026/001000] L_error: 0.3302065730 	 S_error: 0.0513798334 
[000027/001000] L_error: 0.3259429634 	 S_error: 0.0513708331 
[000028/001000] L_error: 0.3217557371 	 S_error: 0.0513793230 
[000029/001000] L_error: 0.3176433742 	 S_error: 0.0513803549 
[000030/001000] L_error: 0.3136043549 	 S_error: 0.0513808429 
[000031/001000] L_error: 0.3096402287 	 S_error: 0.0513608567 
[000032/001000] L_error: 0.3057490289 	 S_error: 0.0513467528 
[000033/001000] L_error: 0.3019254208 	 S_error: 0.0513564274 
[000034/001000] L_error: 0.2981702983 	 S_error: 0.0513556786 
[000035/001000] L_error: 0.2944818139 	 S_error: 0.0513524041 
[000036/001000] L_error: 0.2908582985 	 S_error: 0.0513526499 
[000037/001000] L_error: 0.2872997820 	 S_error: 0.0513448082 
[000038/001000] L_error: 0.2838041782 	 S_error: 0.0513436832 
[000039/001000] L_error: 0.2803695798 	 S_error: 0.0513436012 
[000040/001000] L_error: 0.2769956589 	 S_error: 0.0513407364 
[000041/001000] L_error: 0.2736812532 	 S_error: 0.0513351224 
[000042/001000] L_error: 0.2704249024 	 S_error: 0.0513305292 
[000043/001000] L_error: 0.2672250867 	 S_error: 0.0513372496 
[000044/001000] L_error: 0.2640810013 	 S_error: 0.0513334349 
[000045/001000] L_error: 0.2609915435 	 S_error: 0.0513271429 
[000046/001000] L_error: 0.2579568028 	 S_error: 0.0513191372 
[000047/001000] L_error: 0.2549754381 	 S_error: 0.0513142422 
[000048/001000] L_error: 0.2520441711 	 S_error: 0.0513252728 
[000049/001000] L_error: 0.2491643429 	 S_error: 0.0513170734 
[000050/001000] L_error: 0.2463341355 	 S_error: 0.0513132066 
[000051/001000] L_error: 0.2435527742 	 S_error: 0.0513097383 
[000052/001000] L_error: 0.2408198118 	 S_error: 0.0513024814 
[000053/001000] L_error: 0.2381332517 	 S_error: 0.0513093472 
[000054/001000] L_error: 0.2354914546 	 S_error: 0.0513097309 
[000055/001000] L_error: 0.2328949571 	 S_error: 0.0513126627 
[000056/001000] L_error: 0.2303435504 	 S_error: 0.0513017327 
[000057/001000] L_error: 0.2278358638 	 S_error: 0.0513004623 
[000058/001000] L_error: 0.2253694832 	 S_error: 0.0513103306 
[000059/001000] L_error: 0.2229451537 	 S_error: 0.0513051189 
[000060/001000] L_error: 0.2205617130 	 S_error: 0.0513114519 
